,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
32426869,31,3,10,1377,1,1,5,3
32426975,49,3,1,459,1,1,2,0
32427001,53,4,2,459,3,1,4,0
32427142,75,1,8,1377,2,0,1,3
32427204,84,8,6,459,1,3,2,2
32427278,96,4,2,459,3,1,4,0
32427338,105,5,10,1377,0,2,5,3
32427361,109,6,7,459,2,2,4,2
32427369,110,4,8,918,3,1,1,3
32427501,133,4,0,918,3,1,0,0
32427603,153,3,10,1377,1,1,5,3
32427704,171,7,1,918,4,2,2,0
32427782,186,6,0,918,2,2,0,0
32427816,191,4,0,918,3,1,0,0
32427818,191,4,1,459,3,1,2,0
32427842,196,6,10,918,2,2,5,3
32427927,212,0,2,918,0,0,4,0
32428053,230,3,10,1377,1,1,5,3
32428196,256,6,2,918,2,2,4,0
32428281,268,4,2,459,3,1,4,0
32428320,273,2,0,918,4,0,0,0
32428340,277,10,5,1377,5,3,0,2
32428368,283,7,5,918,4,2,0,2
32428406,290,6,7,459,2,2,4,2
32428442,295,8,0,1377,1,3,0,0
32428474,302,1,8,1377,2,0,1,3
32428532,313,1,8,1377,2,0,1,3
32428554,317,3,0,459,1,1,0,0
32428566,320,3,0,459,1,1,0,0
32428567,320,3,2,918,1,1,4,0
32428602,325,4,8,918,3,1,1,3
32428632,330,0,7,1377,0,0,4,2
32428664,338,3,10,1377,1,1,5,3
32428667,338,1,8,1377,2,0,1,3
32428688,342,9,0,1377,3,3,0,0
32428982,387,3,0,459,1,1,0,0
32428992,388,6,3,459,2,2,1,1
32429002,390,6,7,459,2,2,4,2
32429010,391,4,9,918,3,1,3,3
32429034,395,4,10,918,3,1,5,3
32429161,419,3,0,459,1,1,0,0
32429207,426,4,10,918,3,1,5,3
32429296,439,6,10,918,2,2,5,3
32429337,445,1,6,918,2,0,2,2
32429485,471,3,8,918,1,1,1,3
32429509,475,3,2,918,1,1,4,0
32429543,479,7,8,918,4,2,1,3
32429834,526,5,4,918,0,2,3,1
32429876,533,4,8,918,3,1,1,3
32430013,554,6,5,459,2,2,0,2
