,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
29127758,3,32,20,2751,8,8,5,5
29127780,6,25,26,917,8,6,10,6
29127803,10,25,35,2751,8,6,7,9
29127824,13,14,18,917,2,4,1,5
29127845,17,14,16,1834,2,4,6,4
29127867,20,12,24,2751,5,3,6,6
29127889,24,2,20,4585,4,0,5,5
29127910,27,28,37,2751,7,7,11,9
29127934,31,26,37,2751,10,6,11,9
29127954,35,32,35,917,8,8,7,9
29127975,39,11,9,1834,3,3,6,2
29127997,42,29,34,1834,9,7,12,8
29128020,45,7,5,1834,2,2,5,1
29128041,49,19,23,917,3,5,4,6
29128063,53,11,12,917,3,3,5,3
29128085,59,2,0,1834,4,0,0,0
29128106,61,29,35,1834,9,7,7,9
29128126,66,29,37,1834,9,7,11,9
29128149,69,22,16,1834,9,5,6,4
29128170,72,14,0,3668,2,4,0,0
29128192,77,5,0,2751,5,1,0,0
29128217,80,28,26,1834,7,7,10,6
29128240,85,8,0,2751,4,2,0,0
29128261,90,7,10,917,2,2,1,3
29128284,93,7,13,1834,2,2,0,4
29128309,96,8,4,917,4,2,3,1
29128330,99,15,6,2751,4,4,0,2
29128351,102,11,15,917,3,3,4,4
29128373,105,4,7,917,3,1,2,2
29128395,110,25,37,2751,8,6,11,9
29128415,112,8,20,2751,4,2,5,5
29128436,116,11,24,2751,3,3,6,6
29128457,120,11,16,1834,3,3,6,4
29128483,124,25,26,917,8,6,10,6
29128503,127,32,37,1834,8,8,11,9
29128527,131,4,15,2751,3,1,4,4
29128548,135,15,24,1834,4,4,6,6
29128572,140,22,25,917,9,5,8,6
29128597,144,28,35,1834,7,7,7,9
29128619,147,31,35,917,6,8,7,9
29128640,150,8,2,1834,4,2,4,0
29128664,153,33,35,1834,10,8,7,9
29128687,156,25,23,1834,8,6,4,6
29128708,160,25,28,917,8,6,7,7
29128729,163,28,37,2751,7,7,11,9
29128752,168,26,34,1834,10,6,12,8
29128773,171,7,0,1834,2,2,0,0
29128797,176,32,30,1834,8,8,11,7
29128820,181,29,15,3668,9,7,4,4
29128844,185,14,5,2751,2,4,5,1
29128865,189,15,0,3668,4,4,0,0
29128887,193,22,23,2751,9,5,4,6
29128913,197,29,37,1834,9,7,11,9
29128937,201,8,6,1834,4,2,0,2
29128957,204,24,26,1834,6,6,10,6
29128978,209,8,0,2751,4,2,0,0
29129000,214,11,16,1834,3,3,6,4
29129022,217,7,0,1834,2,2,0,0
29129043,220,7,12,1834,2,2,5,3
29129069,225,14,9,2751,2,4,6,2
29129090,228,4,16,2751,3,1,6,4
29129114,234,7,3,917,2,2,1,1
29129135,238,12,15,917,5,3,4,4
29129156,241,28,30,1834,7,7,11,7
29129177,243,25,16,1834,8,6,6,4
29129197,247,31,37,2751,6,8,11,9
29129218,251,4,6,1834,3,1,0,2
29129239,254,14,16,1834,2,4,6,4
29129262,257,15,14,917,4,4,2,4
29129284,260,24,26,1834,6,6,10,6
29129307,265,29,36,1834,9,7,9,9
29129329,268,11,20,1834,3,3,5,5
29129353,273,29,30,917,9,7,11,7
29129373,276,8,3,1834,4,2,1,1
29129395,280,22,35,3668,9,5,7,9
29129417,284,11,13,1834,3,3,0,4
29129437,288,8,20,2751,4,2,5,5
29129460,292,32,15,3668,8,8,4,4
29129482,296,7,3,917,2,2,1,1
29129506,299,7,10,917,2,2,1,3
29129531,304,33,24,2751,10,8,6,6
29129552,307,8,15,1834,4,2,4,4
29129573,311,21,17,917,7,5,8,4
29129595,315,28,26,1834,7,7,10,6
29129619,318,26,20,2751,10,6,5,5
29129641,322,11,3,1834,3,3,1,1
29129665,326,11,20,1834,3,3,5,5
29129687,330,29,30,917,9,7,11,7
29129709,335,28,33,1834,7,7,10,8
29129730,338,29,33,917,9,7,10,8
29129751,341,8,11,917,4,2,3,3
29129773,347,26,31,2751,10,6,6,8
29129795,352,14,18,917,2,4,1,5
29129817,355,25,36,2751,8,6,9,9
29129839,360,11,16,1834,3,3,6,4
29129861,363,25,37,2751,8,6,11,9
29129883,367,32,24,1834,8,8,6,6
29129904,371,8,3,1834,4,2,1,1
29129925,375,11,16,1834,3,3,6,4
29129947,381,14,16,1834,2,4,6,4
29129969,384,32,34,1834,8,8,12,8
29129991,387,29,24,1834,9,7,6,6
29130014,390,29,35,1834,9,7,7,9
29130035,393,14,13,917,2,4,0,4
29130061,397,25,27,1834,8,6,5,7
29130083,400,28,36,1834,7,7,9,9
29130104,403,2,14,3668,4,0,2,4
29130125,406,29,35,1834,9,7,7,9
29130149,410,25,36,2751,8,6,9,9
29130169,413,32,37,1834,8,8,11,9
29130190,416,11,13,1834,3,3,0,4
29130211,421,11,20,1834,3,3,5,5
29130234,424,25,20,1834,8,6,5,5
29130256,430,12,5,1834,5,3,5,1
29130279,435,18,13,917,1,5,0,4
29130302,438,11,13,1834,3,3,0,4
29130322,441,28,35,1834,7,7,7,9
29130343,445,11,13,1834,3,3,0,4
29130365,450,25,15,2751,8,6,4,4
29130388,453,28,26,1834,7,7,10,6
29130408,457,14,7,1834,2,4,2,2
29130428,460,11,3,1834,3,3,1,1
29130449,464,4,18,3668,3,1,1,5
29130470,468,15,13,1834,4,4,0,4
29130492,473,11,14,917,3,3,2,4
29130514,476,11,16,1834,3,3,6,4
29130535,481,22,37,3668,9,5,11,9
29130557,484,8,6,1834,4,2,0,2
29130579,488,26,34,1834,10,6,12,8
29130602,490,7,8,917,2,2,4,2
29130625,494,8,20,2751,4,2,5,5
29130647,499,14,23,1834,2,4,4,6
29130667,502,11,18,1834,3,3,1,5
29130691,508,29,35,1834,9,7,7,9
29130713,512,8,14,1834,4,2,2,4
29130735,515,7,2,1834,2,2,4,0
29130756,519,19,16,1834,3,5,6,4
29130779,523,29,23,2751,9,7,4,6
29130802,526,32,15,3668,8,8,4,4
29130823,530,33,37,917,10,8,11,9
29130844,533,11,24,2751,3,3,6,6
29130864,536,17,15,1834,8,4,4,4
29130885,540,28,35,1834,7,7,7,9
29130907,543,4,2,917,3,1,4,0
29130929,546,7,13,1834,2,2,0,4
29130950,549,10,24,3668,1,3,6,6
29130974,553,33,26,1834,10,8,10,6
29130995,556,15,24,1834,4,4,6,6
29131019,559,29,23,2751,9,7,4,6
29131041,563,7,2,1834,2,2,4,0
29131062,567,11,6,1834,3,3,0,2
29131082,570,28,35,1834,7,7,7,9
29131103,573,11,15,917,3,3,4,4
29131127,577,15,8,1834,4,4,4,2
29131150,581,7,14,1834,2,2,2,4
29131171,584,28,23,1834,7,7,4,6
29131191,587,14,20,1834,2,4,5,5
29131212,591,10,5,2751,1,3,5,1
29131233,594,32,26,1834,8,8,10,6
29131254,597,12,20,1834,5,3,5,5
29131280,601,11,2,2751,3,3,4,0
29131301,604,29,37,1834,9,7,11,9
29131321,608,32,35,917,8,8,7,9
29131343,614,11,24,2751,3,3,6,6
29131370,619,22,15,2751,9,5,4,4
29131396,623,15,20,917,4,4,5,5
29131417,627,24,37,3668,6,6,11,9
29131437,630,11,5,1834,3,3,5,1
29131458,634,11,15,917,3,3,4,4
29131482,637,32,36,917,8,8,9,9
29131504,640,24,35,2751,6,6,7,9
29131525,643,25,20,1834,8,6,5,5
29131547,646,8,0,2751,4,2,0,0
29131571,652,32,26,1834,8,8,10,6
29131591,654,21,15,1834,7,5,4,4
29131613,659,8,12,917,4,2,5,3
29131633,662,11,16,1834,3,3,6,4
29131655,666,4,1,917,3,1,2,0
29131676,670,7,3,917,2,2,1,1
29131697,673,8,0,2751,4,2,0,0
29131718,677,15,23,1834,4,4,4,6
29131738,680,32,15,3668,8,8,4,4
29131759,683,8,0,2751,4,2,0,0
29131779,686,21,16,917,7,5,6,4
29131800,689,25,37,2751,8,6,11,9
29131822,693,24,37,3668,6,6,11,9
29131846,697,32,37,1834,8,8,11,9
29131870,700,15,20,917,4,4,5,5
29131892,704,25,16,1834,8,6,6,4
29131916,707,29,15,3668,9,7,4,4
29131937,709,21,37,3668,7,5,11,9
29131957,713,22,35,3668,9,5,7,9
29131978,717,4,6,1834,3,1,0,2
29131999,719,7,13,1834,2,2,0,4
29132024,723,8,12,917,4,2,5,3
29132046,727,28,16,2751,7,7,6,4
29132068,731,36,24,2751,9,9,6,6
29132088,734,8,16,1834,4,2,6,4
29132111,739,28,36,1834,7,7,9,9
29132133,742,28,26,1834,7,7,10,6
29132153,745,7,13,1834,2,2,0,4
29132175,748,8,0,2751,4,2,0,0
29132196,751,15,24,1834,4,4,6,6
29132216,754,4,6,1834,3,1,0,2
29132238,758,11,6,1834,3,3,0,2
29132260,763,7,13,1834,2,2,0,4
29132283,767,11,18,1834,3,3,1,5
29132304,771,25,37,2751,8,6,11,9
29132325,774,8,24,3668,4,2,6,6
29132348,777,28,26,1834,7,7,10,6
29132369,782,26,24,1834,10,6,6,6
29132390,786,25,36,2751,8,6,9,9
29132414,789,7,5,1834,2,2,5,1
29132440,795,25,24,917,8,6,6,6
29132462,799,7,16,2751,2,2,6,4
29132484,802,4,1,917,3,1,2,0
29132509,808,8,9,917,4,2,6,2
29132529,811,11,6,1834,3,3,0,2
29132552,814,11,24,2751,3,3,6,6
29132573,817,29,16,2751,9,7,6,4
29132595,820,28,26,1834,7,7,10,6
29132618,824,21,16,917,7,5,6,4
29132639,827,27,15,2751,5,7,4,4
29132661,830,25,37,2751,8,6,11,9
29132684,835,28,37,2751,7,7,11,9
29132705,841,7,3,917,2,2,1,1
29132730,845,1,7,1834,2,0,2,2
29132753,849,11,9,1834,3,3,6,2
